Group,Start,End,P/N,Description,ATA,Unit Hours,U/S Rem.,Rate U/S Rem.,U/S Rem rate UCL,Failures,Rate Fail.,Conf. Fail.,Other Fail.,No Fault,Not Reported,Not Reported %,MTBUR,MTBUR LCL,MTBUR %,MTTUR,MTBF,MTBF LCL,MTBF %,NFF Rate,NFF Rate UCL
Own Configuration,2022-07-01,2023-06-30,822-0297-020,RECEIVER,34,92173,1,0.010849164,0.029280199,0,0,0,0,0,1,100,92173,33470.56829,275.3852256,111,,,,,
Own Configuration,2022-03-01,2023-02-28,822-0297-020,RECEIVER,34,63947,1,0.01563795,0.030139987,0,0,0,0,0,1,100,63947,60026.6519,106.5310124,111,,,,,
Own Configuration,2022-04-01,2023-03-31,822-0297-020,RECEIVER,34,64624,1,0.015474127,0.030716811,0,0,0,0,0,1,100,64624,59844.92615,107.9857628,111,,,,,
Own Configuration,2022-01-01,2022-12-31,822-0297-020,RECEIVER,34,62790,1,0.015926103,0.027504588,0,0,0,0,0,1,100,62790,60384.1928,103.9841672,111,,,,,
Own Configuration,2022-02-01,2023-01-31,822-0297-020,RECEIVER,34,63457,1,0.015758703,0.029150235,0,0,0,0,0,1,100,63457,60129.847,105.5332803,111,,,,,
Own Configuration,2022-01-01,2022-12-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1867,1,0.53561864,1.009805289,0,0,0,0,0,1,100,1867,1279.660348,145.8980895,535,,,,,
Own Configuration,2021-12-01,2022-11-30,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1696,1,0.589622642,0.939034672,0,0,0,0,0,1,100,1696,1356.208433,125.054524,535,,,,,
Own Configuration,2021-11-01,2022-10-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1557,1,0.642260758,0.759318846,0,0,0,0,0,1,100,1557,1557,100,535,,,,,
Own Configuration,2022-06-01,2023-05-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1374,1,0.727802038,1.223289123,0,0,0,0,0,1,100,1374,844.1143368,162.7741575,535,,,,,
Own Configuration,2022-05-01,2023-04-30,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1312,1,0.762195122,1.160349475,0,0,0,0,0,1,100,1312,943.9166825,138.9953186,535,,,,,
Own Configuration,2022-04-01,2023-03-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,2203,1,0.453926464,1.042647454,0,0,0,0,0,1,100,2203,1223.220588,180.0983422,535,,,,,
Own Configuration,2022-02-01,2023-01-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1995,1,0.501253133,1.038304567,0,0,0,0,0,1,100,1995,1250.795955,159.4984372,535,,,,,
Own Configuration,2022-03-01,2023-02-28,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,2117,1,0.472366556,1.045439181,0,0,0,0,0,1,100,2117,1228.256519,172.3581326,535,,,,,
Own Configuration,2022-08-01,2023-07-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1522,1,0.657030223,1.197278853,0,0,0,0,0,1,100,1522,849.8238698,179.0959344,535,,,,,
